tsi,ts,date,time,lat,lon,speed,heading,hr,distance_orig,calories,nearest_land_lat,nearest_land_lon,avg_speed_15s,avg_speed_1k,dwid,distance,distance_to_land
1759015611.0028036,2025-09-27 23:26:51.002804-10,2025-09-27,13:26:51,20.9364560258,-156.3392072945,1.64232,318.67,,,0.0,20.9364560258,-156.3392072945,1.64232,1.64232,01998e98-a600-79ee-82e5-b6e98bafa701,0.0,0.0
1759015616.002186,2025-09-27 23:26:56.002186-10,2025-09-27,13:26:56,20.9364679719,-156.339223187,1.4148,278.13,100,,0.349,20.93647105998725,-156.33921185208123,1.5285600000000001,1.5285600000000001,01998e98-a600-79ee-82e5-b6e98bafa701,2.1186380270581604,1.226230747835168
1759015625.001461,2025-09-27 23:27:05.001461-10,2025-09-27,13:27:05,20.9364778539,-156.3392395706,1.3014,288.37,100,,0.845,20.936484414330057,-156.33921549034073,1.4528400000000001,1.4528400000000001,01998e98-a600-79ee-82e5-b6e98bafa701,4.144102793539815,2.6050431316989107
1759015631.0011692,2025-09-27 23:27:11.001169-10,2025-09-27,13:27:11,20.9364777369,-156.3392622977,1.845,293.22,94,,1.493,20.936490069367633,-156.33921703100015,1.5203999999999998,1.55088,01998e98-a600-79ee-82e5-b6e98bafa701,6.504428035965601,4.897027988899855
1759015635.00103,2025-09-27 23:27:15.00103-10,2025-09-27,13:27:15,20.9364812664,-156.3392829754,1.8972000000000002,285.76,94,,1.493,20.936498599189353,-156.3392193548663,1.6811999999999998,1.6201440000000003,01998e98-a600-79ee-82e5-b6e98bafa701,8.68744812446073,6.882576456183676
1759015642.0008621,2025-09-27 23:27:22.000862-10,2025-09-27,13:27:22,20.9364875355,-156.3393037221,1.6524,303.6,97,,2.198,20.936509696817474,-156.33922237830603,1.7982000000000002,1.62552,01998e98-a600-79ee-82e5-b6e98bafa701,10.952026491306441,8.799908119243714
1759015648.000771,2025-09-27 23:27:28.000771-10,2025-09-27,13:27:28,20.9364966702,-156.3393209567,1.1275199999999999,301.22,93,,2.942,20.936522571322197,-156.33922588583835,1.5590400000000002,1.5543771428571431,01998e98-a600-79ee-82e5-b6e98bafa701,13.010025548651164,10.284924637060442
1759015657.0006893,2025-09-27 23:27:37.000689-10,2025-09-27,13:27:37,20.936506811,-156.3393375435,0.67536,308.84,94,,3.177,20.93653621811792,-156.33922960377376,1.15176,1.4445000000000001,01998e98-a600-79ee-82e5-b6e98bafa701,15.068868853423306,11.67709905447942
1759015665.0006528,2025-09-27 23:27:45.000653-10,2025-09-27,13:27:45,20.9365162702,-156.3393562366,1.9152000000000002,324.38,94,,3.177,20.93654976460002,-156.3392332943797,1.29528,1.4968000000000001,01998e98-a600-79ee-82e5-b6e98bafa701,17.276838692920972,13.300092863437865
1759015668.0006442,2025-09-27 23:27:48.000644-10,2025-09-27,13:27:48,20.9365341317,-156.3393657745,1.8133200000000003,308.64,94,,3.177,20.936568810919816,-156.3392384833624,1.46796,1.5284520000000001,01998e98-a600-79ee-82e5-b6e98bafa701,19.49625382440903,13.770564372788813
1759015672.000637,2025-09-27 23:27:52.000637-10,2025-09-27,13:27:52,20.9365508897,-156.3393820979,2.59668,303.75,94,,3.177,20.936588550896655,-156.33924386132517,1.75014,1.6255636363636368,01998e98-a600-79ee-82e5-b6e98bafa701,22.015404786541243,14.95465807247003
1759015674.0006347,2025-09-27 23:27:54.000635-10,2025-09-27,13:27:54,20.9365648768,-156.33939601,2.6658000000000004,330.52,94,,3.177,20.93660509988529,-156.33924836993452,2.2477500000000004,1.7122500000000003,01998e98-a600-79ee-82e5-b6e98bafa701,24.13824379487769,15.971941523380378
1759015676.0006328,2025-09-27 23:27:56.000633-10,2025-09-27,13:27:56,20.9365826646,-156.339408371,3.75984,325.7,94,,3.177,20.936624793580382,-156.33925373528825,2.550168,1.8697569230769235,01998e98-a600-79ee-82e5-b6e98bafa701,26.496232259673555,16.728739944572578
1759015678.0006313,2025-09-27 23:27:58.000631-10,2025-09-27,13:27:58,20.9365993655,-156.3394205341,3.7782000000000004,338.66,94,,3.177,20.936643425284416,-156.339258811313,2.75484,2.0060742857142864,01998e98-a600-79ee-82e5-b6e98bafa701,28.742179240967644,17.495429240930225
1759015680.0006304,2025-09-27 23:28:00.00063-10,2025-09-27,13:28:00,20.9366189083,-156.3394195053,3.8217600000000003,352.65,94,,3.177,20.936661356851612,-156.33926369659227,2.9072571428571434,2.1271200000000006,01998e98-a600-79ee-82e5-b6e98bafa701,30.917864515738,16.85563275866532
1759015682.0006297,2025-09-27 23:28:02.00063-10,2025-09-27,13:28:02,20.9366423866,-156.3394250989,4.3783199999999995,343.67,94,,3.177,20.93668463154063,-156.33927003755264,3.2591314285714286,2.2678200000000004,01998e98-a600-79ee-82e5-b6e98bafa701,33.59238283210963,16.774779716443877
1759015685.0006287,2025-09-27 23:28:05.000629-10,2025-09-27,13:28:05,20.9366671652,-156.3394284421,3.7371600000000003,7.26,94,,3.412,20.93670854594804,-156.33927655279797,3.533965714285714,2.3542517647058827,01998e98-a600-79ee-82e5-b6e98bafa701,36.3694276039379,16.43162041707882
1759015688.0006542,2025-09-27 23:28:08.000654-10,2025-09-27,13:28:08,20.9366919222,-156.3394367811,3.8304000000000005,337.79,94,,6.216,20.93673370726212,-156.3392834077508,3.7102114285714287,2.4362600000000003,01998e98-a600-79ee-82e5-b6e98bafa701,39.255291826389524,16.592164395011046
1759015690.0006843,2025-09-27 23:28:10.000684-10,2025-09-27,13:28:10,20.9367122262,-156.3394403301,3.8933999999999997,333.54,94,,6.216,20.93675350843685,-156.3392888023863,3.885582857142857,2.512951578947369,01998e98-a600-79ee-82e5-b6e98bafa701,41.54288124472718,16.392498689423295
1759015692.0007133,2025-09-27 23:28:12.000713-10,2025-09-27,13:28:12,20.9367404052,-156.3394526616,4.35132,324.45,94,,6.216,20.936782867868708,-156.33929680107505,3.9700800000000003,2.6048700000000005,01998e98-a600-79ee-82e5-b6e98bafa701,44.92785774059452,16.86122582211016
1759015694.0007381,2025-09-27 23:28:14.000738-10,2025-09-27,13:28:14,20.9367555118,-156.3394676614,4.48884,320.88,94,,6.67,20.936812874890613,-156.33930675597443,4.0716,2.694582857142857,01998e98-a600-79ee-82e5-b6e98bafa701,47.21878067697676,17.886528898457797
1759015696.0007603,2025-09-27 23:28:16.00076-10,2025-09-27,13:28:16,20.936777146,-156.3394850885,4.63536,330.51,94,,6.67,20.9368375817953,-156.339315564033,4.187828571428571,2.7828,01998e98-a600-79ee-82e5-b6e98bafa701,50.229192038733586,18.84463409459347
